year,month,is_online,is_offline
2002,7,0,1
2002,8,0,15
2002,9,0,13
2002,10,0,18
2002,11,0,27
2002,12,0,27
2003,1,0,28
2003,2,0,34
2003,3,0,36
2003,4,0,36
2003,5,0,37
2003,6,0,37
2003,7,0,37
2003,8,0,39
2003,9,0,39
2003,10,0,39
2003,11,0,40
2003,12,0,40
2004,1,0,41
2004,2,0,41
2004,3,0,42
2004,4,0,42
2004,5,0,42
2004,6,0,42
2004,7,0,42
2004,8,0,42
2004,9,0,47
2004,10,0,49
2004,11,0,48
2004,12,0,50
2005,1,0,54
2005,2,0,49
2005,3,0,51
2005,4,0,55
2005,5,0,58
2005,6,0,51
2005,7,0,47
2005,8,0,44
2005,9,0,48
2005,10,0,54
2005,11,0,52
2005,12,0,53
2006,1,0,56
2006,2,0,60
2006,3,0,63
2006,4,0,71
2006,5,0,72
2006,6,0,75
2006,7,0,82
2006,8,0,88
2006,9,0,86
2006,10,0,92
2006,11,0,97
2006,12,0,89
2007,1,0,98
2007,2,0,110
2007,3,0,113
2007,4,0,139
2007,5,0,150
2007,6,0,143
2007,7,0,142
2007,8,0,163
2007,9,0,156
2007,10,0,167
2007,11,0,169
2007,12,0,158
2008,1,0,165
2008,2,0,175
2008,3,0,188
2008,4,0,216
2008,5,0,229
2008,6,0,230
2008,7,0,237
2008,8,0,234
2008,9,0,256
2008,10,0,284
2008,11,0,246
2008,12,0,249
2009,1,0,321
2009,2,0,350
2009,3,0,370
2009,4,0,396
2009,5,0,435
2009,6,0,499
2009,7,0,484
2009,8,0,451
2009,9,0,521
2009,10,0,534
2009,11,0,491
2009,12,0,444
2010,1,0,512
2010,2,0,547
2010,3,0,621
2010,4,0,644
2010,5,0,676
2010,6,0,685
2010,7,0,740
2010,8,0,784
2010,9,0,911
2010,10,0,923
2010,11,0,902
2010,12,0,713
2011,1,0,958
2011,2,0,1134
2011,3,0,1209
2011,4,0,1125
2011,5,0,1200
2011,6,0,1224
2011,7,0,1096
2011,8,0,1129
2011,9,0,1339
2011,10,0,1430
2011,11,0,1415
2011,12,0,1278
2012,1,0,1482
2012,2,0,1749
2012,3,0,1827
2012,4,0,1893
