year,month,ada,android,clojure,cobol,dart,delphi,fortran,ios,java,javascript,kotlin,labview,matlab,pascal,perl,php,powershell,python,ruby,scala,sql,typescript,visual_basic,wolfram
"","",0,5,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0
2002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
2004,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0
2004,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,2,0,0,0
2004,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0
2005,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0
2005,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,1,0,3,0,0,0
2005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
2005,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,3,0,2,0,0,0
2005,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,1,1,2,0,0,0
2005,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,3,0,0,0
2005,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,1,0,2,0,0,0
2005,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,2,0,0,0
2005,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,1,0,4,0,0,0
2005,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,1,0,3,0,0,0
2005,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,3,1,0,5,0,0,0
2005,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,2,0,6,0,0,0
2006,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,0,4,2,0,4,0,0,0
2006,2,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,4,2,0,4,0,0,0
