minute_of_day_created,count
72,6339
44,6107
116,5882
96,5823
141,5817
105,5803
87,5791
55,5771
109,5749
125,5731
46,5731
103,5591
140,5562
113,5557
32,5540
88,5518
119,5499
58,5469
137,5447
49,5445
90,5443
75,5424
61,5423
94,5421
19,5419
9,5413
28,5409
48,5404
130,5403
52,5384
38,5372
67,5361
128,5340
81,5310
35,5310
89,5300
13,5299
3,5297
129,5296
65,5288
79,5282
10,5272
106,5261
101,5253
23,5238
57,5231
74,5231
132,5226
33,5225
22,5220
12,5215
51,5215
136,5206
69,5204
5,5202
7,5194
143,5190
70,5180
56,5167
93,5165
29,5163
2,5163
40,5158
131,5155
123,5125
53,5120
135,5108
120,5094
97,5091
41,5081
16,5080
26,5073
83,5072
107,5070
62,5066
111,5056
54,5052
118,5049
84,5040
122,5034
139,5034
114,5031
24,5031
91,5025
6,5014
77,4994
4,4981
134,4981
64,4980
50,4975
124,4975
66,4972
102,4965
133,4960
27,4954
59,4947
85,4941
110,4938
76,4936
68,4933
73,4930
31,4916
78,4915
21,4913
99,4908
47,4906
17,4880
92,4879
100,4876
71,4870
82,4869
11,4857
142,4839
30,4824
112,4812
15,4800
138,4788
14,4766
37,4765
42,4765
34,4749
25,4749
43,4722
108,4719
80,4689
0,4678
86,4675
60,4658
8,4649
45,4619
126,4613
98,4611
95,4597
36,4596
117,4592
1,4570
20,4570
39,4549
121,4536
127,4525
104,4516
63,4461
115,4272
18,4232
