minute_of_day_created,count
0,4678
1,4570
2,5163
3,5297
4,4981
5,5202
6,5014
7,5194
8,4649
9,5413
10,5272
11,4857
12,5215
13,5299
14,4766
15,4800
16,5080
17,4880
18,4232
19,5419
20,4570
21,4913
22,5220
23,5238
24,5031
25,4749
26,5073
27,4954
28,5409
29,5163
30,4824
31,4916
32,5540
33,5225
34,4749
35,5310
36,4596
37,4765
38,5372
39,4549
40,5158
41,5081
42,4765
43,4722
44,6107
45,4619
46,5731
47,4906
48,5404
49,5445
50,4975
51,5215
52,5384
53,5120
54,5052
55,5771
56,5167
57,5231
58,5469
59,4947
60,4658
61,5423
62,5066
63,4461
64,4980
65,5288
66,4972
67,5361
68,4933
69,5204
70,5180
71,4870
72,6339
73,4930
74,5231
75,5424
76,4936
77,4994
78,4915
79,5282
80,4689
81,5310
82,4869
83,5072
84,5040
85,4941
86,4675
87,5791
88,5518
89,5300
90,5443
91,5025
92,4879
93,5165
94,5421
95,4597
96,5823
97,5091
98,4611
99,4908
100,4876
101,5253
102,4965
103,5591
104,4516
105,5803
106,5261
107,5070
108,4719
109,5749
110,4938
111,5056
112,4812
113,5557
114,5031
115,4272
116,5882
117,4592
118,5049
119,5499
120,5094
121,4536
122,5034
123,5125
124,4975
125,5731
126,4613
127,4525
128,5340
129,5296
130,5403
131,5155
132,5226
133,4960
134,4981
135,5108
136,5206
137,5447
138,4788
139,5034
140,5562
141,5817
142,4839
143,5190
