mins_duration,count
1,88
2,2
3,1
5,24
7,3
8,3
9,1
10,95
13,1
14,2
15,463
17,1
20,33
22,1
25,8
29,11
30,7759
31,1
33,2
35,7
37,1
39,1
40,151
45,2087
49,1
50,131
53,1
55,12
57,1
59,74
60,64267
61,1
63,6
64,1
65,57
69,1
70,166
74,2
75,4246
79,2
80,38
81,1
85,61
88,2
89,7
90,58476
91,2
92,3
93,125
95,11
96,2
97,1
99,1
100,104
102,1
105,3362
106,5
108,1
109,2
110,42
111,2
112,1
114,2
115,51
117,6
118,2
119,34
120,206558
121,5
122,1
123,3
125,7
127,7
130,33
134,1
135,3767
137,1
140,40
141,3
142,1
143,1
144,1
145,7
147,7
148,12
149,8
150,35124
151,2
152,1
153,6
154,1
155,31
157,5
160,10
164,1
165,1281
166,2
169,29
170,19
175,7
177,17
178,1
179,47
180,83931
181,7
183,2
185,3
187,3
190,2
194,1
195,561
197,1
200,7
207,2
208,1
209,13
210,5602
211,2
213,1
215,2
224,1
225,257
228,1
230,10
234,1
235,4
239,51
240,17155
241,1
243,3
245,4
250,1
255,164
260,1
265,6
269,10
270,1268
271,1
280,9
285,616
289,1
290,1
295,1
296,1
299,252
300,6423
301,2
309,1
315,97
325,1
329,44
330,904
332,1
333,2
345,151
350,1
351,1
355,1
357,1
358,1
359,28
360,6966
361,2
363,1
375,80
380,2
389,1
390,1057
393,7
400,2
405,74
410,1
415,1
419,5
420,5097
423,1
430,1
435,64
450,857
464,4
465,41
470,2
479,2
480,4682
486,1
490,6
495,158
510,1046
513,1
525,69
531,1
537,1
539,8
540,2614
545,1
550,1
555,60
567,1
570,390
575,1
580,1
585,37
597,1
599,4
600,1224
615,55
630,166
635,1
645,11
659,2
660,484
675,9
690,101
705,21
715,2
718,1
719,17
720,663
725,1
735,6
750,63
765,19
778,1
779,2
780,713
795,10
810,71
822,1
825,10
838,1
839,6
840,387
842,1
855,135
860,3
870,27
885,5
899,5
900,253
915,3
930,13
933,1
945,6
955,1
959,6
960,709
975,2
990,6
1005,4
1019,1
1020,20
1035,3
1050,1
1080,39
1095,2
1110,9
1125,1
1140,25
1155,1
1170,7
1185,1
1200,45
1230,11
1245,2
1260,49
1275,2
1290,16
1320,132
1335,2
1350,52
1365,2
1375,1
1379,1
1380,51
1383,1
1395,1
1410,25
1425,22
1435,24
1438,5
1439,28
1440,243
