year,month,daily_event_attends
"","",1097
2002,7,1
2002,8,14
2002,9,25
2002,10,14
2002,11,37
2002,12,39
2003,1,64
2003,2,85
2003,3,96
2003,4,74
2003,5,111
2003,6,110
2003,7,122
2003,8,180
2003,9,153
2003,10,127
2003,11,129
2003,12,80
2004,1,118
2004,2,132
2004,3,123
2004,4,111
2004,5,164
2004,6,147
2004,7,161
2004,8,155
2004,9,118
2004,10,148
2004,11,163
2004,12,185
2005,1,262
2005,2,299
2005,3,349
2005,4,415
2005,5,325
2005,6,247
2005,7,259
2005,8,229
2005,9,321
2005,10,374
2005,11,511
2005,12,405
2006,1,497
2006,2,856
2006,3,949
2006,4,1355
2006,5,1745
2006,6,1872
2006,7,1915
2006,8,2054
2006,9,2504
2006,10,2562
2006,11,2106
2006,12,2566
2007,1,3611
2007,2,3676
2007,3,4139
2007,4,4484
2007,5,5101
2007,6,4442
2007,7,4769
2007,8,6188
2007,9,6020
2007,10,6363
2007,11,4902
2007,12,5537
2008,1,6512
2008,2,6046
2008,3,7667
2008,4,7306
2008,5,9219
2008,6,8918
2008,7,8904
2008,8,7344
2008,9,8701
2008,10,10783
2008,11,9423
2008,12,9190
2009,1,12047
2009,2,14188
2009,3,17546
2009,4,18219
2009,5,17789
2009,6,19705
2009,7,18227
2009,8,17973
2009,9,21424
2009,10,20529
2009,11,19086
2009,12,16503
2010,1,23161
2010,2,25082
2010,3,26640
2010,4,27937
2010,5,27957
2010,6,24528
2010,7,27745
2010,8,30555
2010,9,34751
2010,10,36620
2010,11,36742
2010,12,25410
2011,1,38971
2011,2,47241
2011,3,45727
2011,4,47718
2011,5,47261
2011,6,52447
2011,7,45373
2011,8,54274
2011,9,60378
2011,10,60735
2011,11,67589
2011,12,51874
2012,1,69317
2012,2,90688
2012,3,88304
2012,4,86144
2012,5,92060
2012,6,95808
2012,7,82553
2012,8,94315
2012,9,93879
2012,10,102832
2012,11,94187
2012,12,82761
2013,1,108455
2013,2,129609
2013,3,128020
2013,4,138575
2013,5,141682
2013,6,141850
2013,7,132855
2013,8,132341
2013,9,141125
2013,10,158362
2013,11,144491
2013,12,110539
2014,1,148752
2014,2,170868
2014,3,174111
2014,4,183771
2014,5,180704
2014,6,178785
2014,7,172131
2014,8,179054
2014,9,188732
2014,10,210898
2014,11,175160
2014,12,147728
2015,1,201120
2015,2,221842
2015,3,247184
2015,4,235264
2015,5,236497
2015,6,231978
2015,7,227738
2015,8,218062
2015,9,246638
2015,10,249174
2015,11,220534
2015,12,174823
2016,1,238122
2016,2,276120
2016,3,294713
2016,4,280028
2016,5,268817
2016,6,281837
2016,7,258740
2016,8,265337
2016,9,278612
2016,10,274515
2016,11,234808
2016,12,192782
2017,1,256928
2017,2,286875
2017,3,307258
2017,4,291002
2017,5,282987
2017,6,303499
2017,7,268309
2017,8,297146
2017,9,297647
2017,10,310660
2017,11,292978
2017,12,214995
2018,1,314399
2018,2,342079
2018,3,359538
2018,4,367995
2018,5,355176
2018,6,335337
2018,7,315246
2018,8,347276
2018,9,338111
2018,10,388105
2018,11,308712
2018,12,221865
2019,1,289464
2019,2,302632
2019,3,309701
2019,4,309064
2019,5,296754
2019,6,284786
2019,7,266320
2019,8,280523
2019,9,294053
2019,10,285832
2019,11,249069
2019,12,188526
2020,1,246881
2020,2,264879
