year,month,paypal,cash,wepay
2005,5,0,1,0
2005,6,0,3,0
2005,7,0,3,0
2005,8,0,1,0
2005,9,0,2,0
2005,10,0,1,0
2005,11,0,1,0
2005,12,0,2,0
2006,1,0,2,0
2006,2,0,2,0
2006,3,1,2,0
2006,4,3,1,0
2006,5,4,1,0
2006,6,5,1,0
2006,7,5,1,0
2006,8,4,1,0
2006,9,4,1,0
2006,10,5,1,0
2006,11,5,0,0
2006,12,4,1,0
2007,1,5,1,0
2007,2,6,0,0
2007,3,6,2,0
2007,4,13,4,0
2007,5,16,3,0
2007,6,10,1,0
2007,7,5,3,0
2007,8,9,2,0
2007,9,6,4,0
2007,10,12,4,0
2007,11,6,6,0
2007,12,5,7,0
2008,1,9,3,0
2008,2,6,7,0
2008,3,6,8,0
2008,4,7,10,0
2008,5,11,12,0
2008,6,12,10,0
2008,7,2,17,0
2008,8,2,12,0
2008,9,0,15,0
2008,10,1,20,0
2008,11,1,18,0
2008,12,3,19,0
2009,1,6,22,0
2009,2,6,19,0
2009,3,8,21,0
2009,4,9,26,0
2009,5,11,28,0
2009,6,7,25,0
2009,7,8,30,0
2009,8,9,20,0
2009,9,11,31,0
2009,10,11,28,0
2009,11,6,35,0
2009,12,11,21,0
2010,1,15,28,0
2010,2,13,37,0
2010,3,26,34,0
2010,4,27,30,0
2010,5,25,29,0
2010,6,23,31,0
2010,7,29,29,0
2010,8,24,23,0
2010,9,38,47,0
2010,10,38,35,0
2010,11,40,39,0
2010,12,27,29,0
2011,1,33,46,0
2011,2,63,51,0
2011,3,46,55,0
2011,4,34,48,0
2011,5,34,49,0
2011,6,27,40,0
2011,7,27,33,0
2011,8,29,41,0
2011,9,33,44,0
2011,10,36,40,0
2011,11,39,48,0
2011,12,30,31,0
2012,1,47,45,0
2012,2,47,75,0
2012,3,64,63,0
2012,4,67,59,0
2012,5,81,75,0
2012,6,93,68,0
2012,7,73,64,0
2012,8,99,65,0
2012,9,100,75,0
2012,10,97,87,0
2012,11,88,92,0
2012,12,88,77,0
2013,1,81,108,0
2013,2,98,105,0
2013,3,126,100,0
2013,4,123,109,0
2013,5,112,96,0
2013,6,144,118,0
2013,7,118,103,0
2013,8,136,83,0
2013,9,127,87,0
2013,10,152,96,0
2013,11,116,96,0
2013,12,88,80,0
2014,1,112,114,0
2014,2,118,129,0
2014,3,170,133,0
2014,4,196,134,0
2014,5,203,140,3
2014,6,166,144,11
2014,7,122,140,21
2014,8,102,125,33
2014,9,105,138,34
2014,10,114,158,57
2014,11,115,152,52
2014,12,90,111,28
2015,1,60,145,40
2015,2,71,149,42
2015,3,78,137,71
2015,4,79,149,62
2015,5,97,109,93
2015,6,77,75,113
2015,7,94,66,147
2015,8,46,64,131
2015,9,58,95,138
2015,10,50,86,148
2015,11,50,74,143
2015,12,44,69,105
2016,1,60,88,144
2016,2,58,81,186
2016,3,71,107,188
2016,4,65,129,201
2016,5,62,110,178
2016,6,41,125,156
2016,7,46,133,183
2016,8,41,120,155
2016,9,53,135,164
2016,10,69,133,199
2016,11,51,136,155
2016,12,45,126,138
2017,1,62,131,167
2017,2,55,132,198
2017,3,73,124,233
2017,4,70,159,210
2017,5,77,152,203
2017,6,69,138,215
2017,7,77,160,207
2017,8,64,144,192
2017,9,78,134,190
2017,10,82,124,202
2017,11,94,108,182
2017,12,79,75,168
2018,1,79,78,183
2018,2,59,71,191
2018,3,59,86,216
2018,4,69,92,198
2018,5,70,77,179
2018,6,75,109,203
2018,7,89,138,171
2018,8,70,152,170
2018,9,76,136,182
2018,10,74,143,164
2018,11,61,158,180
2018,12,77,119,165
2019,1,69,108,159
2019,2,70,130,179
2019,3,71,136,204
2019,4,95,149,261
2019,5,90,131,277
2019,6,103,136,416
2019,7,119,135,515
2019,8,87,162,550
2019,9,99,138,527
2019,10,106,171,546
2019,11,98,174,525
2019,12,103,163,481
2020,1,105,147,495
2020,2,98,203,312
2020,3,90,196,307
2020,4,50,161,191
2020,5,52,172,181
2020,6,40,135,329
2020,7,49,149,301
2020,8,53,154,312
2020,9,49,159,163
2020,10,47,130,135
2020,11,31,158,122
2020,12,33,154,88
2021,1,45,160,32
2021,2,2,0,0
2025,3,0,0,1
2033,1,0,0,1
2038,1,0,0,13
2038,2,0,0,26
