year,month,total_prep_time_mins,prep_time/event
2002,7,3024,3024.0
2002,8,45360,3024.0
2002,9,39312,3024.0
2002,10,54432,3024.0
2002,11,78762,3029.3076923076924
2002,12,78624,3024.0
2003,1,81648,3024.0
2003,2,99792,3024.0
2003,3,105840,3024.0
2003,4,105708,3020.2285714285713
2003,5,108864,3024.0
2003,6,108864,3024.0
2003,7,108864,3024.0
2003,8,108864,3024.0
2003,9,108864,3024.0
2003,10,108864,3024.0
2003,11,112080,3029.189189189189
2003,12,111888,3024.0
2004,1,114912,3024.0
2004,2,114912,3024.0
2004,3,117936,3024.0
2004,4,117780,3020.0
2004,5,117936,3024.0
2004,6,117936,3024.0
2004,7,117936,3024.0
2004,8,117936,3024.0
2004,9,122761,2854.906976744186
2004,10,189992,4222.044444444445
2004,11,170372,3872.090909090909
2004,12,188556,4099.04347826087
2005,1,243287,4865.74
2005,2,183943,4087.6222222222223
2005,3,188043,4000.9148936170213
2005,4,235681,4713.62
2005,5,200860,3862.6923076923076
2005,6,185157,4025.1521739130435
2005,7,182737,4350.880952380952
2005,8,156895,4128.815789473684
2005,9,200853,4564.840909090909
2005,10,201325,4108.673469387755
2005,11,186348,3882.25
2005,12,214809,4383.857142857143
2006,1,228134,4562.68
2006,2,238435,4335.181818181818
2006,3,213428,3679.793103448276
2006,4,275383,4236.661538461539
2006,5,256245,3942.230769230769
2006,6,300846,4360.086956521739
2006,7,315890,4156.4473684210525
2006,8,361311,4406.231707317073
2006,9,395667,4945.8375
2006,10,369465,4246.724137931034
2006,11,369012,4100.133333333333
2006,12,371533,4476.301204819277
2007,1,407265,4426.79347826087
2007,2,419029,4029.125
2007,3,412659,3893.009433962264
2007,4,504696,4037.568
2007,5,516165,3795.330882352941
2007,6,581982,4442.6106870229005
2007,7,539448,4181.767441860465
2007,8,805785,5266.568627450981
2007,9,654415,4513.206896551724
2007,10,662686,4247.98717948718
2007,11,674537,4242.37106918239
2007,12,590807,4102.826388888889
2008,1,747816,4855.948051948052
2008,2,760512,4637.268292682927
2008,3,742697,4243.982857142857
2008,4,800211,3941.926108374384
2008,5,926612,4289.87037037037
2008,6,958237,4456.916279069767
2008,7,923059,4157.923423423424
2008,8,963600,4360.180995475113
2008,9,1052723,4368.145228215768
2008,10,1150588,4261.437037037037
2008,11,1131486,4835.410256410257
2008,12,981766,4125.0672268907565
2009,1,1333416,4415.284768211921
2009,2,1311522,3926.7125748502995
2009,3,1384286,3977.8333333333335
2009,4,1508568,4249.487323943662
2009,5,1590773,4175.257217847769
2009,6,1611299,3978.516049382716
2009,7,1639447,4129.589420654912
2009,8,1559187,4191.362903225807
2009,9,1746806,3925.4067415730337
2009,10,1940626,4128.991489361702
2009,11,1841793,4313.3325526932085
2009,12,1849392,4635.067669172932
2010,1,2044694,4341.176220806794
2010,2,2039254,4136.41784989858
2010,3,2097074,3698.543209876543
2010,4,2232160,3868.561525129983
2010,5,2217425,3796.9606164383563
2010,6,2193786,3705.7195945945946
2010,7,2531879,3919.3173374613
2010,8,3030393,4335.326180257511
2010,9,5661708,6946.880981595092
2010,10,7677271,9216.411764705883
2010,11,8317482,10130.915956151035
2010,12,7986884,12557.993710691824
2011,1,9834027,11395.164542294322
2011,2,11906035,11349.89037178265
2011,3,13578130,12199.577717879605
2011,4,14146535,13721.178467507274
2011,5,14341050,13241.96675900277
2011,6,15901867,14122.439609236235
2011,7,15388572,15221.13946587537
2011,8,16382282,15721.959692898272
2011,9,18710851,15489.115066225166
2011,10,16370687,12690.45503875969
2011,11,9044735,7060.68306010929
2011,12,6484013,5810.047491039427
2012,1,6529799,4909.623308270677
2012,2,7191539,4589.367581365667
2012,3,7454512,4517.886060606061
2012,4,8054660,4729.688784497945
2012,5,8461931,4479.582318687136
2012,6,9204083,4921.969518716577
2012,7,8731420,4921.882750845547
2012,8,9376461,4955.846194503171
2012,9,10726031,5255.282214600686
2012,10,10917409,4878.198838248436
2012,11,10915840,5268.262548262548
2012,12,17609202,9617.259421081377
2013,1,30418013,13807.541080344985
2013,2,39382907,15816.428514056224
2013,3,46723123,17330.535237388725
2013,4,49604024,17608.812211572596
2013,5,54270360,18662.434662998625
2013,6,56600072,18630.70177748519
2013,7,56313979,19614.761058864508
2013,8,60302908,20772.61729245608
2013,9,61083961,19484.517065390748
2013,10,69943871,19241.780192572216
2013,11,64547381,19673.081682413896
2013,12,64584179,22645.224053295933
2014,1,70447993,20738.296438033558
2014,2,71030726,19176.761879049674
2014,3,75711460,18584.059891998037
2014,4,82890096,19398.571495436463
2014,5,87015751,19934.879954180986
2014,6,88733084,20309.701075761044
2014,7,94077570,22261.611452910554
2014,8,96526363,22007.83470132239
2014,9,102613429,21846.589099425164
2014,10,107790833,20341.7310813361
2014,11,106705744,21521.933037515126
2014,12,106749418,24647.752943892865
2015,1,114868077,23168.22851956434
2015,2,117525616,21639.77462714049
